GeneSymbol,EntrezID
PIN1P1,5301
SRSF11,9295
HHLA3,11147
CTH,1491
FPGT,8790
TNNI3K,51086
TYW3,127253
LHX8,431707
ACADM,34
RABGGTB,5876
MSH4,4438
ST6GALNAC3,256435
TPI1,7167
ST6GALNAC5,81849
AK5,26289
CCDC55,84081
NEXN,91624
DNAJB4,11080
GIPC2,54810
PTGFR,5737
IFI44L,10964
IFI44,10561
LPHN2,23266
PRKACB,5567
NEDD8,4738
DNASE2B,58511
RPF1,80135
SPATA1,64173
WDR63,126820
CYR61,3491
CLCA2,9635
CLCA1,1179
CLCA4,22802
CLCA3P,9629
SH3GLB1,51100
HS2ST1,9653
LOC339524,339524
LMO4,8543
PKN2,5586
GBP6,163351
LRRC8B,23507
LRRC8C,84230
LRRC8D,55144
ZNF326,284695
CDC7,8317
BRDT,676
EPHX4,253152
BTBD8,284697
RPAP2,79871
RPL5,6125
MTF2,22823
CCDC18,343099
DR1,1810
FNBP1L,54874
ABCD3,5825
SLC44A3,126969
TMEM56,148534
RWDD3,25950
PTBP2,58155
SNX7,51375
LPPR4,9890
PALMD,54873
AGL,178
SLC35A3,23443
HIAT1,64645
CCDC76,54482
RTCD1,8634
CDC14A,8556
GPR88,54112
VCAM1,7412
SLC30A7,148867
DPH5,51611
S1PR1,1901
HEJ1,94236
RNPC3,55599
AMY2B,280
AMY2A,279
AMY1A,276
AMY1A,276
PRMT6,55170
NTNG1,22854
NDUFA4,4697
PRPF38B,55119
FNDC7,163479
STXBP3,6814
LOC642864,642864
TMEM167B,56900
KIAA1324,57535
SARS,6301
CELSR2,1952
SYPL2,284612
ATXN7L2,127002
CYB561D1,284613
GPR61,83873
GNAI3,2773
AMPD2,271
GSTM4,2948
GSTM2,2946
GSTM1,2944
GSTM5,2949
CSF1,1435
AHCYL1,10768
FAM40A,85369
UBL4B,164153
KCNC4,3749
RBM15,64783
PROK1,84432
CD53,963
CEPT1,10390
CHI3L2,1117
CHIA,27159
C1orf88,128344
ATP5F1,515
C1orf162,128346
RAP1A,5906
DDX20,11218
CTTNBP2NL,55917
WNT2B,7482
CAPZA1,829
MOV10,4343
FAM19A3,284467
LRIG2,9860
MAGI3,260425
DCLRE1B,64858
HIPK1,204851
OLFML3,56944
SYCP1,6847
TSHB,7252
VANGL1,81839
VANGL1,81839
SLC22A15,55356
C1orf161,126868
ATP1A1,476
CD2,914
PTGFRN,5738
CD101,9398
TTF2,8458
MAN1A2,10905
FAM46C,54855
WDR3,10885
HAO2,51179
HSD3BP4,128102
HSD3B1,3283
PHGDH,26227
NBPF15,284565
SEC22B,9554
HFE2,148738
TXNIP,10628
LIX1L,128077
RBM8A,9939
PEX11B,8799
ITGA10,8515
ANKRD35,148741
PIAS3,10401
RNF115,27246
PDZK1,5174
IGF2BP2,10644
CHD1L,9557
BCL9,607
GJA8,2703
NBPF16,728936
FCGR1A,2209
HIST2H4A,8370
HIST2H2AA3,8337
HIST2H3A,333932
HIST2H2AC,8338
BOLA1,51027
VPS45,11311
PLEKHO1,51177
CA14,23632
C1orf54,79630
C1orf51,148523
MRPS21,54460
PRPF3,9129
RPRD2,23248
TARS2,80222
ECM1,1893
ADAMTSL4,54507
ADAMTSL4,54507
SETDB1,9869
ANXA9,8416
PRUNE,58497
BNIPL,149428
C1orf56,54964
MLLT11,10962
GABPB2,126626
TNFAIP8L2,79626
SCNM1,79005
PIP5K1A,8394
PSMD4,5710
ZNF687,57592
PSMB4,5692
CGN,57530
TUFT1,7286
SNX27,81609
OAZ3,51686
LCE5A,254910
CRCT1,54544
LCE3C,353144
LCE3B,353143
LCE2D,353141
LCE2B,26239
LCE2C,353140
LCE2A,353139
LCE4A,199834
LCE1F,353137
LCE1E,353135
LCE1D,353134
LCE1B,353132
LCE1A,353131
SMCP,4184
IVL,3713
SPRR4,163778
SPRR1A,6698
SPRR3,6707
SPRR1B,6699
LOR,4014
S100A9,6280
S100A7A,338324
S100A1,6271
C1orf77,26097
SNAPIN,23557
NPR1,4881
INTS3,65123
SLC27A3,11000
CREB3L4,148327
RPS27,6232
UBAP2L,9898
HAX1,10456
AQP10,89872
ATP8B2,57198
IL6R,3570
TDRD10,126668
CHRNB2,1141
CKS1B,1163
FLAD1,80308
LENEP,55891
ZBTB7B,51043
DCST1,149095
ADAM15,8751
EFNA4,1945
EFNA3,1944
EFNA1,1942
RAG1AP1,55974
TRIM46,80128
MTX1,4580
HCN3,57657
FDPS,2224
RUSC1,23623
POU5F1P4,645682
MSTO1,55154
DAP3,7818
SYT11,23208
RXFP4,339403
ROBLD3,28956
RAB25,57111
LMNA,4000
SEMA4A,64218
SLC25A44,9673
PMF1,11243
TMEM79,84283
C1orf182,128229
RHBG,57127
APOA1BP,128240
HAPLN2,60484
BCAN,63827
C1orf66,51093
PRCC,5546
NTRK1,4914
C1orf92,149499
KIRREL,55243
CD1D,912
CD1A,909
CD1C,911
CD1E,913
OR10K1,391109
OR10R2,343406
OR10Z1,128368
OR6K6,128371
MNDA,4332
PYHIN1,149628
IFI16,3428
CADM3,57863
DARC,2532
FCER1A,2205
OR10J1,26476
APCS,325
DUSP23,54935
FCRL6,343413
SLAMF8,56833
KCNJ9,3765
ATP1A2,477
ATP1A4,480
CASQ1,844
PEA15,8682
SUMO1P3,474338
NCSTN,23385
NHLH1,4807
SLAMF7,57823
LY9,4063
KLHDC9,126823
NIT1,4817
UFC1,51506
USP21,27005
PPOX,5498
NDUFS2,4720
FCER1G,2207
TOMM40L,84134
SDHC,6391
FCGR2A,2212
HSPA6,3310
FCGR2B,2213
FCRLA,84824
FCRLB,127943
DUSP12,11266
ATF6,22926
NOS1AP,9722
UHMK1,127933
UAP1,6675
DDR2,4921
HSD17B7,51478
RGS4,5999
NUF2,83540
PBX1,5087
LRRC52,440699
MGST3,4259
ALDH9A1,223
UCK2,7371
FMO9P,116123
POGK,57645
MAEL,84944
POU2F1,5451
RCSD1,92241
LOC100128751,100128751
MPZL1,9019
DCAF6,55827
TIPRL,261726
SFT2D2,375035
TBX19,9095
XCL1,6375
MGC4473,79100
ATP1B1,481
BLZF1,8548
SCYL3,57147
GORAB,92344
PRRX1,5396
C1orf129,80133
FMO3,2328
FMO1,2326
FMO4,2329
BAT2L2,23215
METTL13,51603
DNM3,26052
C1orf105,92346
C1orf9,51430
FASLG,356
PRDX6,9588
KLHL20,27252
DARS2,55157
ZBTB37,84614
RABGAP1L,9910
GPR52,9293
CACYBP,27101
RPS29,6235
PAPPA2,60676
FAM5B,57795
RASAL2,9462
C1orf49,84066
C1orf220,400798
RALGPS2,55103
FAM20B,9917
TOR3A,64222
SOAT1,6646
C1orf125,126859
TDRD5,163589
FAM163A,148753
TOR1AIP1,26092
CEP350,9857
QSOX1,5768
LHX4,89884
XPR1,9213
MR1,3140
IER5,51278
CACNA1E,777
RGSL1,353299
RGSL1,353299
NPL,80896
DHX9,1660
LAMC1,3915
LAMC2,3918
SMG7,9887
RGL1,23179
TSEN15,116461
C1orf21,81563
RNF2,6045
C1orf26,54823
HMCN1,83872
PRG4,10216
C1orf27,54953
OCLM,10896
PLA2G4A,5321
RGS18,64407
RGS1,5996
RGS13,6003
RGS2,5997
TROVE2,6738
CDC73,79577
CFH,3075
CFHR3,10878
CFHR4,10877
CFHR2,3080
CFHR5,81494
CRB1,23418
LHX9,56956
NEK7,140609
PTPRC,5788
NR5A2,2494
CAMSAP1L1,23271
GPR25,2848
C1orf106,55765
IGFN1,91156
PKP1,5317
RPS10P7,376693
NAV1,89796
IPO9,55705
SHISA4,149345
TIMM17A,10440
RNPEP,6051
ELF3,1999
GPR37L1,9283
LGR6,59352
PPP1R12B,4660
OCR1,100128298
TMEM183A,92703
ADORA1,134
BTG2,7832
ATP2B4,493
NCRNA00260,84719
LAX1,54900
ZC3H11A,9877
SNRPE,6635
SOX13,9580
MDM4,4194
NFASC,23114
CNTN2,6900
TMCC2,9911
LOC100130932,100130932
CDK18,5129
MFSD4,148808
IKBKE,9641
RASSF5,83593
DYRK3,8444
MAPKAPK2,9261
IL19,29949
IL20,50604
IL24,11009
PFKFB2,5208
C4BPB,725
C4BPA,722
CD55,1604
CR2,1380
CR1,1378
CD46,4179
CAMK1G,57172
G0S2,50486
HSD11B1,3290
TRAF3IP3,80342
C1orf107,27042
SYT14,255928
SERTAD4,56256
HHAT,55733
RCOR3,55758
TRAF5,7188
C1orf97,84791
DTL,51514
PPP2R5A,5525
NENF,29937
ATF3,467
FAM71A,149647
FLVCR1,28982
VASH2,79805
RPS6KC1,26750
PROX1,5629
SMYD2,56950
CENPF,1063
KCNK2,3776
KCTD3,51133
SPATA17,128153
RRP15,51018
TGFB2,7042
LYPLAL1,127018
IARS2,55699
MARK1,4139
C1orf115,79762
MOSC2,54996
MOSC1,64757
HLX,3142
MIA3,375056
C1orf58,148362
FAM177B,400823
DISP1,84976
C1orf65,164127
CAPN2,824
FBXO28,23219
DEGS1,8560
CNIH4,29097
CNIH3,149111
DNAH14,127602
LBR,3930
EPHX1,2052
H3F3A,3020
MIXL1,83881
C1orf95,375057
PSEN2,5664
ADCK3,56997
BTF3P9,503543
ZNF678,339500
ZNF678,339500
SNAP47,116841
LOC100130093,100130093
PRSS38,339501
WNT3A,89780
ARF1,375
GUK1,2987
GJC2,57165
OBSCN,84033
HIST3H2BB,128312
DUSP5P,574029
RHOU,58480
RAB4A,5867
URB2,9816
GALNT2,2590
COG2,22796
CAPN9,10753
ARV1,64801
TRIM67,440730
GNPAT,8443
C1orf124,83932
TSNAX,7257
DISC1,27185
KIAA1383,54627
C1orf57,84284
KIAA1804,84451
KCNK1,3775
SLC35F3,148641
GGPS1,9453
TBCE,6905
GPR137B,7107
EDARADD,128178
LGALS8,3964
ACTN2,88
MTR,4548
RYR2,6262
CHRM3,1131
FMN2,56776
KMO,8564
WDR64,128025
EXO1,9156
SDCCAG8,10806
ZNF238,10472
C1orf101,257044
PPPDE1,51029
FAM36A,116228
EFCAB2,84288
KIF26B,55083
CNST,163882
SCCPDH,51097
LOC149134,149134
VN1R5,317705
NLRP3,114548
OR2W5,441932
C1orf150,148823
OR2G2,81470
OR2G3,81469
OR9H1P,81439
TRIM58,25893
OR2L13,284521
OR2L8,391190
OR2AK2,391191
OR2L2,26246
OR2L3,391192
OR2M5,127059
OR2M2,391194
OR2M3,127062
OR2M4,26245
OR14C36,127066
OR2T4,127074
OR2T2,401992
OR2T5,401993
ZNF672,79894
PGBD2,267002
FAM138A,645520
OR4F16,81399
NCRNA00115,79854
C1orf159,54991
TNFRSF18,8784
TNFRSF4,7293
SDF4,51150
UBE2J2,118424
ACAP3,116983
CPSF3L,54973
DVL1,1855
MXRA8,54587
AURKAIP1,54998
CCNL2,81669
MRPL20,55052
SSU72,29101
NADK,65220
CDK11A,728642
SLC35E2,9906
GNB1,2782
TMEM52,339456
C1orf86,199990
C1orf86,199990
MORN1,79906
LOC100129534,100129534
PEX10,5192
PANK4,55229
TNFRSF14,8764
MMEL1,79258
FLJ42875,440556
FLJ42875,440556
WDR8,49856
KIAA0495,57212
LRRC47,57470
KIAA0562,9731
C1orf174,339448
NPHP4,261734
CHD5,26038
RPL22,6146
ICMT,23463
GPR153,387509
ACOT7,11332
HES2,54626
TNFRSF25,8718
PLEKHG5,57449
NOL9,79707
KLHL21,9903
DNAJC11,55735
UTS2,10911
TNFRSF9,3604
ERRFI1,54206
RERE,473
ENO1,2023
SLC2A7,155184
SLC2A5,6518
GPR157,80045
CLSTN1,22883
CTNNBIP1,56998
LZIC,84328
DFFA,1676
CASZ1,54897
C1orf127,148345
MASP2,10747
SRM,6723
EXOSC10,5394
MTOR,2475
FBXO2,26232
MAD2L2,10459
MTHFR,4524
NPPA,4878
NPPB,4879
KIAA2013,90231
DHRS3,9249
C1orf126,200197
CASP9,842
AGMAT,79814
ZBTB17,7709
HSPB7,27129
FAM131C,348487
EPHA2,1969
ARHGEF19,128272
C1orf89,79363
FBXO42,54455
SPATA21,374955
CROCCP3,114819
CROCCP2,84809
EIF1AX,1964
MFAP2,4237
ATP13A2,23400
SDHB,6390
PADI2,11240
RCC2,55920
TAS1R2,80834
ALDH4A1,8659
UBR4,23352
KIAA0090,23065
AKR7L,246181
AKR7A2,8574
AKR7A3,22977
CAPZB,832
TMCO4,255104
RNF186,54546
PLA2G2E,30814
PLA2G2A,5320
PLA2G2D,26279
CAMK2N1,55450
MUL1,79594
PINK1,65018
DDOST,1650
KIF17,57576
HP1BP3,50809
EIF4G3,8672
ECE1,1889
RAP1GAP,5909
USP48,84196
HSPG2,3339
WNT4,54361
LUZP1,7798
HTR1D,3352
HNRNPR,10236
ZNF436,80818
TCEA3,6920
ASAP3,55616
E2F2,1870
ID3,3399
GALE,2582
HMGCL,3155
FUCA1,2517
MYOM3,127294
IL22RA1,58985
IL28RA,163702
C1orf201,90529
RUNX3,864
SYF2,25949
C1orf63,57035
C1orf135,79000
PAQR7,164091
STMN1,3925
STMN1,3925
PAFAH2,5051
SLC30A2,7780
TRIM63,84676
UBXN11,91544
AIM1L,55057
ZNF683,257101
GPN2,54707
GPATCH3,63906
NR0B2,8431
C1orf172,126695
FAM46B,115572
SLC9A1,6548
MAP3K6,9064
FCN3,8547
CD164L2,388611
WASF2,10163
AHDC1,27245
FGR,2268
IFI6,2537
RPA2,6118
EYA3,2140
PTAFR,5724
DNAJC8,22826
SNORA44,677825
TAF12,6883
TMEM200B,399474
SRSF4,6429
MECR,51102
MATN1,4146
LAPTM5,7805
SDC3,9672
PUM1,9698
NKAIN1,79570
SNRNP40,9410
FABP3,2170
PEF1,553115
COL16A1,1307
BAI2,576
SPOCD1,90853
PTP4A2,8073
C1orf91,56063
MTMR9LP,339483
MARCKSL1,65108
BSDC1,55108
ZBTB8OS,339487
SYNC,81493
YARS,8565
FNDC5,252995
TMEM54,113452
RNF19B,127544
AK2,204
TRIM62,55223
PHC2,1912
CSMD2,114784
C1orf212,113444
ZMYM6,9204
SFPQ,6421
KIAA0319L,79932
PSMB2,5690
C1orf216,127703
CLSPN,63967
COL8A2,1296
TRAPPC3,27095
C1orf113,79729
STK40,83931
LSM10,84967
OSCP1,127700
MRPS15,64960
CSF3R,1441
GRIK3,2899
MEAF6,64769
SNIP1,79753
GNL2,29889
RSPO1,284654
C1orf109,54955
EPHA10,284656
EPHA10,284656
YRDC,79693
SF3A3,10946
FHL3,2275
POU3F1,5453
RRAGC,64121
GJA9,81025
RHBDL2,54933
PABPC4,8761
HEYL,26508
NT5C1A,84618
HPCAL4,51440
BMP8B,656
OXCT2,64064
TRIT1,54802
MYCL1,4610
PPT1,5538
COL9A2,1298
RIMS3,9783
CITED4,163732
SLFNL1,200172
SCMH1,22955
EDN2,1907
HIVEP3,59269
GUCA2A,2980
FOXJ3,22887
ZMYND12,84217
TMSB4X,7114
CLDN19,149461
LEPRE1,64175
CCDC23,374969
SLC2A1,6513
EBNA1BP2,10969
C1orf210,149466
ELOVL1,64834
MED8,112950
HYI,81888
SLC6A9,6536
SNRPD1,6632
ERI3,79033
TMEM53,79639
BEST4,266675
PTCH2,8643
EIF2B3,8891
HECTD3,79654
MUTYH,4595
TESK2,10420
PRDX1,5052
CCDC17,149483
GPBP1L1,60313
PIK3R3,8503
POMGNT1,55624
LRRC41,10489
PDZK1IP1,10158
TAL1,6886
STIL,6491
SPATA6,54558
LOC100128922,100128922
AGBL4,84871
BEND5,79656
FAF1,11124
TTC39A,22996
EPS15,2060
NRD1,4898
RAB3B,5865
TXNDC12,51060
KTI12,112970
CC2D1B,200014
ORC1,4998
ZCCHC11,23318
C1orf163,65260
RPS13,6207
ECHDC2,55268
SLC1A7,6512
CPT2,1376
MAGOH,4116
LRP8,7804
FLJ40434,163742
GLIS1,148979
TMEM48,55706
YIPF1,54432
HSPB11,51668
TMEM59,9528
CYB5RL,606495
SSBP3,23648
ACOT11,26027
PARS2,25973
TTC22,55001
DHCR24,1718
USP24,23358
PPAP2B,8613
C1orf168,199920
C8B,732
DAB1,1600
TACSTD2,4070
MYSM1,114803
JUN,3725
CYP2J2,1573
C1orf87,127795
TM2D1,83941
KANK4,163782
DOCK7,85440
ITGB3BP,23421
JAK1,3716
INSL5,10022
WDR78,79819
SLC35D1,23169
SERBP1,26135
GNG12,55970
DIRAS3,9077
WLS,79971
RPE65,6121
DEPDC1,55635
LRRC40,55631
ANKRD13C,81573
PTGER3,5733
ZRANB2,9406
NEGR1,257194
LRRIQ3,127255
LRRIQ3,127255
C1orf173,127254
CRYZ,1429
SLC44A5,204962
ASB17,127247
PIGK,10026
ZZZ3,26009
USP33,23032
AIDA,64853
C1orf118,374987
FUBP1,8880
ELTD1,64123
TTLL7,79739
GNG5,2787
CTBS,1486
C1orf180,439927
SSX2IP,117178
LPAR3,23566
MCOLN2,255231
MCOLN3,55283
C1orf52,148423
BCL10,8915
DDAH1,23576
ZNHIT6,54680
COL24A1,255631
ODF2L,57489
15-Sep,9403
GTF2B,2959
CCBL2,56267
GBP3,2635
GBP1,2633
GBP7,388646
GBP4,115361
GBP5,115362
GEMIN8P4,492303
BARHL2,343472
ZNF644,84146
HFM1,164045
TGFBR3,7049
GLMN,11146
GFI1,2672
EVI5,7813
FAM69A,388650
TMED5,50999
BCAR3,8412
DNTTIP2,30836
GCLM,2730
ABCA4,24
ARHGAP29,9411
F3,2152
CNN3,1266
ALG14,199857
RPL7,6129
DPYD,1806
MIR137,406928
SASS6,163786
LRRC39,127495
DBT,1629
EXTL2,2135
DPH5,51611
OLFM3,118427
COL11A1,1301
AMY1A,276
VAV3,10451
SLC25A24,29957
NBPF4,148545
C1orf59,113802
AKNAD1,254268
CLCC1,23155
WDR47,22911
PSRC1,84722
SORT1,6272
PSMA5,5686
AMIGO1,57463
GNAT2,2780
GSTM3,2947
EPS8L3,79574
ALX3,257
SLC16A4,9122
HBXIP,10542
KCNA10,3744
KCNA2,3737
KCNA3,3738
C1orf103,55791
DRAM2,128338
DENND2D,79961
OVGP1,5016
WDR77,79084
ADORA3,140
C1orf183,55924
KCND3,3752
ST7L,54879
RHOC,389
PPM1J,333926
FLJ36116,388666
SLC16A1,6566
PHTF1,10745
RSBN1,54665
PTPN22,26191
AP4B1,10717
SYT6,148281
TRIM33,51592
DENND2C,163259
AMPD1,270
NRAS,4893
CSDE1,7812
SIKE1,80143
TSPAN2,10100
NGF,4803
CASQ2,845
NHLH2,4808
CD58,965
IGSF3,3321
TRIM45,80263
VTCN1,79679
GDAP2,54834
SPAG17,200162
WARS2,10352
ZNF697,90874
HMGCS2,3158
REG4,83998
NOTCH2,4853
ADAM30,11085
LOC51152,51152
PDE4DIP,9659
POLR3GL,84265
GNRHR2,114814
POLR3C,10623
CD160,11126
NBPF11,200030
PRKAB2,5565
FMO5,2330
ACP6,51205
GJA5,2702
FLJ39739,388685
NBPF16,728936
PPIAL4A,164022
HIST2H2BF,440689
HIST2H3A,333932
HIST2H2AA3,8337
HIST2H4A,8370
HIST2H2BE,8349
HIST2H2AB,317772
SV2A,9900
SF3B4,10262
MTMR11,10903
OTUD7B,56957
ANP32E,81611
APH1A,51107
MCL1,4170
ENSA,2029
GOLPH3L,55204
HORMAD1,84072
CTSS,1520
CTSK,1513
ARNT,405
LASS2,29956
FAM63A,55793
CDC42SE1,56882
SEMA6C,10500
LYSMD1,388695
TMOD4,29765
VPS72,6944
PI4KB,5298
RFX5,5993
SELENBP1,8991
POGZ,23126
CELF3,11189
MRPL9,65005
TDRKH,11022
LINGO4,339398
RORC,6097
THEM5,284486
THEM4,117145
S100A10,6281
S100A11,6282
TCHH,7062
CRNN,49860
LCE3E,353145
LCE3D,84648
LCE3A,353142
LCE1C,353133
SPRR2D,6703
SPRR2A,6700
SPRR2B,6701
SPRR2C,6702
PGLYRP3,114771
PGLYRP4,57115
S100A12,6283
S100A8,6279
S100A3,6274
S100A7,6278
S100A6,6277
S100A5,6276
S100A2,6273
ILF2,3608
GATAD2B,57459
DENND4B,9909
CRTC2,200186
SLC39A1,27173
JTB,10899
NUP210L,91181
TPM3,7170
C1orf43,25912
UBE2Q1,55585
ADAR,103
KCNN3,3782
PMVK,10654
PBXIP1,57326
PYGO2,90780
SHC1,6464
DCST2,127579
DPM3,54344
KRTCAP2,200185
MUC1,4582
THBS3,7059
GBAP1,2630
GBA,2629
FAM189B,10712
SCAMP3,10067
CLK2,1196
PKLR,5313
FDPS,2224
C1orf104,284618
ASH1L,55870
YY1AP1,55249
GON4L,54856
RIT1,6016
KIAA0907,22889
ARHGEF2,9181
SSR2,6746
UBQLN4,56893
PAQR6,79957
SMG5,23381
C1orf85,112770
VHLL,391104
CCT3,7203
C1orf61,10485
MEF2D,4209
IQGAP3,128239
GPATCH4,54865
NES,10763
CRABP2,1382
ISG20L2,81875
MRPL24,79590
HDGF,3068
SH2D2A,9047
INSRR,3645
ARHGEF11,9826
ETV3L,440695
ETV3,2117
FCRL5,83416
FCRL4,83417
FCRL3,115352
FCRL2,79368
FCRL1,115350
CD5L,922
CD1B,910
OR10T2,128360
OR10K2,391107
OR6Y1,391112
OR6N1,128372
OR10X1,128367
SPTA1,6708
OR6K2,81448
OR6K3,391114
OR6N2,81442
AIM2,9447
OR10J3,441911
OR10J5,127385
CRP,1401
CCDC19,25790
TAGLN2,8407
IGSF9,57549
SLAMF9,89886
PIGM,93183
KCNJ10,3766
IGSF8,93185
DCAF8,50717
PEX19,5824
COPA,1314
SLAMF6,114836
CD84,8832
SLAMF1,6504
CD48,962
CD244,51744
